index, u0, u1, Family, u3, u4, u5, u6, u7, MAX LVL, XP Type, sk0, sk1, sk2, idk, HP, MP, ATK, DEF, SPD, INT,Blaze, Fireball, Bang, Infernos, Lightning, Icebolt, Surround, Sleep, Beat, RobMagic, Stopspell, Panic, Sap, Slow, Sacrifice, MegaMagic, FireAir, FrigidAir, PoisonAir, Paralyze, Curse, LureDance, DanceShut, MouthShut, RockThrow, GigaSlash, Geyser
26,167,0,Slime,2,0,0,1,0,40,4,21,53,60,0,8,13,11,19,11,20,1,1,1,2,1,2,1,2,3,1,0,3,0,0,0,0,2,1,2,2,2,2,2,2,1,1,3
27,0,0,Dragon,2,0,0,4,0,30,7,64,113,149,0,10,3,17,2,5,5,1,2,2,0,0,2,1,1,1,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0
28,48,0,Dragon,2,0,0,4,0,35,17,53,54,74,3,15,11,18,6,7,13,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,1,1,1,1,1,1
29,63,0,Dragon,2,1,0,3,1,35,16,4,72,153,2,14,11,18,2,20,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,1,1,1,0
30,58,0,Dragon,2,1,0,4,1,50,18,21,32,110,2,17,15,13,11,7,18,2,2,2,1,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,1,1,1,0,0,0
31,67,0,Dragon,3,1,0,3,1,30,15,46,113,139,0,9,13,17,16,14,4,2,2,2,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,1,1,1,0,0,0,1,1,0
32,60,0,Dragon,2,0,0,4,0,45,20,93,103,107,5,17,10,19,13,5,16,0,2,2,1,1,1,1,0,2,0,0,1,0,0,3,0,2,0,0,1,2,0,0,0,0,0,0
33,67,0,Dragon,2,0,0,3,0,45,19,95,115,139,0,21,16,15,13,7,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,2,0,2,1,1,0,0,0,0,0,1
34,62,0,Dragon,2,0,0,4,0,50,20,92,101,150,5,9,3,23,6,1,5,1,1,1,0,0,1,1,1,1,0,0,0,0,0,3,0,2,1,1,0,1,1,0,0,0,0,1
35,49,0,Dragon,2,0,0,4,0,35,16,39,111,144,0,11,2,19,13,7,5,2,2,2,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1
36,51,0,Dragon,2,0,0,3,0,40,20,64,80,157,0,17,1,20,16,7,4,2,2,2,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1
37,56,0,Dragon,2,0,0,3,0,35,16,78,111,126,0,14,8,17,14,18,10,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,2,2,1,2,1,1,1
38,67,0,Dragon,2,0,0,5,0,35,19,107,108,122,0,19,0,21,5,8,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,0,0,1,2,2,1,2,2,1
39,62,0,Dragon,2,1,0,4,1,35,17,81,90,95,2,14,2,17,16,15,5,2,2,2,2,2,0,0,2,0,0,0,1,0,0,2,0,2,1,0,0,0,0,2,1,2,1,1
40,69,0,Dragon,2,0,0,4,0,40,19,52,96,114,0,17,18,11,6,8,13,1,2,2,0,0,0,0,0,2,1,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1
41,61,0,Dragon,2,1,0,3,1,30,16,4,39,64,0,11,11,17,17,13,5,1,2,2,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0,1,1,1,0,0,0,1,1,0
42,60,0,Dragon,2,0,0,5,0,50,22,10,46,115,5,21,15,19,17,19,12,2,2,2,0,0,0,0,2,2,2,0,2,0,0,2,0,2,2,0,0,0,1,1,1,0,0,1
43,85,0,Dragon,2,0,0,3,0,40,20,95,117,121,0,18,8,16,13,19,11,1,2,2,0,0,0,1,1,1,1,1,1,1,1,3,1,2,0,2,0,2,0,0,0,0,0,1
44,73,0,Dragon,2,1,0,3,1,35,8,10,78,99,2,14,7,10,8,19,8,1,2,2,1,0,0,1,1,1,0,0,0,0,1,2,0,2,0,1,0,1,1,0,0,0,0,0
45,55,0,Dragon,2,1,0,3,1,35,7,75,139,167,2,10,9,21,15,9,8,2,2,2,1,1,0,0,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
46,56,0,Dragon,2,0,0,4,0,35,19,75,110,112,3,20,8,19,24,1,2,2,2,2,0,0,0,0,1,1,0,0,1,0,0,3,0,2,0,1,1,1,0,0,0,1,1,1
47,69,0,Dragon,2,0,0,6,0,60,23,68,83,157,2,21,5,23,14,16,11,2,3,2,1,1,1,1,2,3,1,1,2,1,1,3,0,3,1,1,3,1,1,1,1,1,1,1
48,100,0,Dragon,2,0,0,1,0,35,18,51,59,95,0,14,4,15,5,19,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,1,1,1,1
49,59,0,Dragon,2,0,0,3,0,45,20,98,106,115,0,15,8,20,17,14,11,3,3,2,1,1,0,0,0,2,0,1,0,0,0,3,0,3,0,0,0,0,2,2,1,1,1,0
50,78,0,Dragon,2,0,0,5,0,60,23,7,82,107,0,25,14,20,22,18,14,2,2,2,1,1,1,1,2,2,1,1,1,1,1,3,1,3,1,1,1,1,2,2,1,1,1,2
51,108,0,Dragon,1,0,0,6,0,60,22,64,80,99,0,24,13,24,21,11,8,2,2,2,1,1,1,2,2,2,1,1,3,1,1,3,0,3,1,2,2,2,1,1,1,1,1,2
52,108,0,Dragon,2,0,0,5,0,60,22,64,94,107,5,23,16,26,20,17,16,2,2,2,2,2,1,1,2,2,1,1,1,1,1,3,0,3,1,1,2,1,1,1,1,1,1,1
53,109,0,Dragon,3,1,0,6,1,40,18,64,102,137,2,15,11,20,14,18,8,0,0,0,2,2,1,1,2,2,1,1,1,1,1,3,0,3,1,1,2,1,2,2,2,2,2,1
54,97,0,Dragon,2,0,0,5,0,55,24,84,90,101,0,23,7,24,21,18,8,2,2,2,1,1,0,2,2,2,1,1,2,1,1,3,0,2,0,1,1,1,1,1,1,2,2,2
55,103,0,Dragon,2,1,0,6,1,70,28,62,68,159,2,26,25,28,24,20,23,2,3,3,2,2,2,2,2,3,2,2,3,2,2,3,1,3,2,2,3,2,2,2,2,2,2,1
56,150,0,Dragon,2,0,0,6,0,75,29,45,110,148,3,25,24,28,25,21,24,3,3,3,2,2,1,2,2,3,2,2,3,2,2,3,0,3,2,2,2,2,2,2,2,2,2,2
57,153,0,Dragon,1,0,0,6,1,70,24,64,75,108,3,30,24,29,12,6,11,0,0,0,0,0,0,2,2,1,1,1,1,1,1,3,1,2,0,3,2,2,1,1,2,2,2,1
58,122,0,Beast,2,0,0,4,0,40,12,97,113,139,0,14,5,15,12,11,16,0,0,0,0,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,0,0,2,2,2,2,2,1
59,68,0,Beast,3,0,0,3,0,45,13,47,104,110,0,18,5,14,9,15,4,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,2,2,2,2,2,1
60,59,0,Beast,2,1,0,4,1,35,10,43,51,118,0,11,10,13,8,18,14,0,0,0,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,1,3,3,3,3,3,0
61,64,0,Beast,2,0,0,4,0,35,11,43,111,125,0,14,17,8,8,19,13,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,3,3,3,2,2,1
62,68,0,Beast,2,0,0,3,0,40,9,37,105,114,0,16,5,9,17,0,13,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,1,1,1,2,2,2,3,3,1
63,58,0,Beast,2,0,0,4,0,45,13,108,111,144,0,24,1,26,13,7,1,1,1,1,1,1,1,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,2,2,2,2,2,1
64,71,0,Beast,2,0,0,4,0,45,12,104,120,168,0,14,10,11,8,16,2,0,0,0,0,0,0,1,1,1,0,0,1,2,2,1,0,0,0,1,1,1,2,2,2,2,2,1
65,60,0,Beast,2,0,0,4,0,50,12,10,16,81,2,13,20,13,15,15,13,0,0,0,2,0,1,0,0,1,0,0,0,2,2,1,0,0,1,0,0,0,2,2,2,2,2,1
66,72,0,Beast,2,0,0,3,0,40,14,16,104,145,0,22,8,8,21,10,7,0,0,0,1,0,2,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,2,2,2,2,2,2
67,68,0,Beast,2,0,0,2,0,40,8,94,98,139,0,14,7,17,11,9,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,1
68,56,0,Beast,2,0,0,4,0,45,9,121,124,158,0,18,7,13,12,11,7,0,0,0,0,0,0,1,2,1,0,0,2,2,2,0,0,0,0,1,1,1,2,2,2,2,2,1
69,67,0,Beast,2,0,0,4,0,45,10,57,148,151,3,18,5,17,23,2,11,1,1,1,0,0,1,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,2,2,2,2,2,1
70,71,0,Beast,2,0,0,3,0,35,9,122,147,168,0,14,11,16,14,20,8,0,0,0,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,3,3,3,3,3,1
71,72,0,Beast,2,0,0,3,0,50,11,104,107,112,3,17,19,17,11,17,10,0,0,0,1,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,3,3,3,2,2,1
72,79,0,Beast,1,0,0,5,0,45,14,98,99,141,0,20,0,27,7,9,1,1,1,1,1,1,1,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,3,2,2,3,2,1
73,66,0,Beast,2,0,0,5,0,40,13,16,83,144,0,18,11,15,9,10,8,1,1,1,1,1,2,0,0,1,0,0,0,2,2,1,0,0,3,0,0,0,2,2,2,2,2,1
74,72,0,Beast,2,1,0,4,1,40,5,1,78,147,0,9,7,21,19,13,14,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,2,2,2,2,2,0
75,64,0,Beast,2,1,0,4,1,40,13,46,113,132,2,22,13,18,15,20,8,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,1,2,2,2,2,2,0
76,75,0,Beast,2,0,0,5,0,40,8,47,101,103,5,21,4,22,14,8,6,0,0,0,1,0,0,0,2,1,0,0,0,2,2,1,0,0,1,0,0,0,2,2,2,2,2,0
77,67,0,Beast,2,0,0,3,0,40,12,87,91,166,0,14,13,17,9,8,11,1,1,0,0,0,1,0,0,2,0,0,0,2,2,2,0,1,1,0,0,0,2,2,2,2,2,1
78,66,0,Beast,3,1,0,4,1,45,11,43,46,84,0,12,5,13,14,17,7,1,1,1,0,0,1,0,1,0,0,0,1,2,2,1,0,1,1,0,0,0,2,2,2,2,2,1
79,64,0,Beast,2,0,0,5,0,50,14,22,30,167,2,19,21,14,13,12,25,0,0,0,0,0,0,1,2,2,1,1,2,3,3,1,1,0,2,0,1,1,3,2,2,3,2,2
80,99,0,Beast,2,0,0,4,0,40,11,4,43,113,0,19,9,17,13,17,3,0,1,1,0,0,2,1,1,1,1,1,1,3,3,1,1,1,2,0,0,0,2,2,2,2,2,1
81,80,0,Beast,2,0,0,5,0,35,13,109,125,167,0,13,1,20,10,8,4,0,0,0,1,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,3,3,3,3,3,1
82,64,0,Beast,2,0,0,5,0,50,14,110,126,144,3,17,8,21,17,14,13,0,1,1,1,1,1,0,0,2,0,0,1,2,3,1,0,0,1,0,0,0,3,3,3,3,3,1
83,88,0,Beast,1,0,0,6,0,60,15,4,68,99,0,20,14,24,23,17,14,1,1,1,2,2,1,1,1,3,1,1,2,3,3,3,1,1,2,1,2,1,3,3,3,3,3,1
84,124,0,Beast,2,0,0,5,0,50,13,47,51,105,0,17,4,19,18,10,12,1,1,0,0,0,1,1,2,3,1,3,1,3,3,3,1,1,1,0,2,1,3,3,3,3,3,1
85,100,0,Beast,2,0,0,5,0,40,12,81,98,141,0,15,7,18,14,17,11,1,1,1,0,0,1,0,1,3,0,0,0,2,2,3,0,1,1,0,1,0,3,2,2,2,2,1
86,83,0,Beast,2,0,0,4,0,40,11,16,68,161,0,14,8,14,11,7,9,1,1,1,1,1,1,0,1,3,0,2,0,2,2,3,0,0,0,0,1,0,2,2,2,2,2,1
87,72,0,Beast,2,0,0,6,0,65,29,7,108,128,0,29,28,30,24,24,6,2,2,2,1,1,2,2,2,2,2,2,1,3,3,3,1,1,2,2,1,1,3,3,2,2,2,2
88,144,0,Beast,2,0,0,3,0,40,4,1,46,58,0,7,6,10,4,6,15,0,0,0,0,0,0,1,0,2,1,2,2,1,1,0,0,0,0,0,2,3,0,3,0,0,0,0
89,61,0,Beast,2,0,0,4,0,45,7,94,101,109,5,15,10,9,8,14,7,0,0,1,0,0,2,2,1,3,0,0,1,2,2,1,0,1,2,1,1,1,3,1,2,2,2,1
90,73,0,Bird,2,0,0,4,0,40,4,39,46,88,0,11,12,14,8,18,13,0,0,0,2,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,0
91,68,0,Bird,2,1,0,4,1,45,6,22,47,68,2,17,13,19,11,16,20,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,2,2,0
92,76,0,Bird,2,0,0,4,0,35,5,89,104,111,0,14,8,17,9,6,4,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,3,3,3,0
93,59,0,Bird,2,1,0,3,1,50,5,41,86,160,0,6,18,12,3,21,19,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0
94,67,0,Bird,2,1,0,5,1,30,3,47,52,117,0,11,11,9,12,18,7,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,2,2,3,3,0
95,67,0,Bird,2,0,0,4,0,40,4,10,39,81,0,9,7,20,14,23,13,1,1,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,1
96,75,0,Bird,2,1,0,4,1,40,5,106,153,168,0,6,14,17,12,18,5,0,0,0,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,0
97,63,0,Bird,2,1,0,4,1,50,5,56,128,166,2,12,17,8,15,22,13,0,0,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2,2,2,2,1
98,72,0,Bird,2,1,0,5,1,40,12,36,98,155,0,7,8,6,13,14,19,0,0,0,2,2,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,2,2,2,2,2
99,65,0,Bird,2,1,0,2,1,50,2,33,47,50,0,11,4,8,13,17,11,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0
100,52,0,Bird,2,1,0,4,1,40,5,57,117,153,2,13,8,8,7,9,1,0,0,0,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,2,2,0
101,49,0,Bird,2,1,0,3,1,40,3,81,126,149,0,8,5,14,12,17,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0
102,52,0,Bird,2,0,0,4,0,40,6,45,88,101,0,16,12,20,20,14,11,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,2,2,2,2,2,0
103,84,0,Bird,2,0,0,4,0,35,5,10,82,125,0,15,10,21,13,11,18,0,0,0,2,2,0,1,1,1,0,0,1,2,2,1,0,0,0,0,1,1,3,3,3,3,3,1
104,81,0,Bird,2,1,0,3,1,30,3,22,72,122,0,17,6,17,15,20,8,0,0,0,2,2,0,0,2,1,0,0,2,0,0,0,0,0,0,2,1,1,2,2,2,3,3,1
105,77,0,Bird,2,1,0,4,1,45,6,4,25,102,2,14,11,18,12,17,13,1,1,0,2,2,1,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,2,2,2,2,2,0
106,78,0,Bird,2,0,0,4,0,40,4,72,124,167,0,9,13,20,19,23,30,0,0,0,3,2,0,1,0,1,2,2,1,0,1,0,0,0,0,0,0,0,2,2,2,2,2,0
107,89,0,Bird,1,1,0,5,1,50,7,19,68,83,2,20,7,11,17,19,11,1,1,0,2,2,3,0,0,2,0,0,1,0,0,1,0,1,3,0,1,0,2,2,2,2,2,1
108,84,0,Bird,3,1,0,6,1,50,7,64,98,153,0,16,13,19,8,19,12,2,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,3,0,0,1,0,3,3,3,2,2,0
109,84,0,Bird,2,1,0,5,1,50,7,63,74,82,2,20,7,19,17,22,12,1,1,1,3,3,1,0,0,1,2,0,2,0,0,1,0,1,1,0,1,0,2,2,2,2,2,0
110,90,0,Bird,2,1,0,5,1,50,8,10,72,93,2,10,7,8,14,22,9,1,1,1,2,2,1,3,0,3,0,2,0,0,0,1,1,1,1,2,3,3,3,2,2,2,2,0
111,70,0,Bird,2,1,0,6,1,60,15,53,132,133,3,27,19,12,20,23,23,1,1,1,2,2,1,1,1,2,0,0,1,0,0,2,0,1,1,0,2,0,2,2,2,2,2,0
112,103,0,Bird,2,0,0,5,0,50,5,120,123,124,0,14,20,8,9,16,20,0,0,0,3,3,0,1,0,2,1,1,1,0,0,3,0,0,0,0,2,0,3,3,3,2,2,1
113,84,0,Bird,1,0,0,6,0,70,24,61,129,148,2,25,27,15,24,18,24,2,2,2,3,2,2,1,1,2,1,1,3,3,1,3,1,2,3,1,2,1,3,3,3,3,3,1
114,138,0,Bird,2,1,0,6,1,75,28,63,159,160,2,27,24,24,12,24,12,2,2,2,3,3,2,1,1,2,2,2,3,2,2,2,2,3,3,3,1,1,3,3,3,3,3,2
115,144,0,Bird,2,1,0,6,1,60,22,25,64,157,2,24,22,18,20,24,22,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,3,3,3,3,2
116,132,0,Bird,2,0,0,1,0,35,4,10,52,168,0,7,8,13,5,14,11,0,0,0,0,0,3,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,2,1,1,0,0,2
117,138,0,Plant,2,0,0,4,0,40,10,35,39,43,0,15,24,11,13,6,18,0,0,0,2,2,0,1,1,1,3,3,1,1,1,1,1,0,0,0,0,0,2,2,2,0,0,2
118,76,0,Plant,2,0,0,3,0,45,15,1,34,114,0,14,26,10,12,5,17,1,1,1,2,2,0,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,2,2,2,0,0,1
119,72,0,Plant,2,0,0,4,0,40,7,4,33,36,0,17,20,6,9,2,19,0,0,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,3,2,2,2
120,68,0,Plant,2,1,0,4,1,35,7,32,91,164,2,12,20,6,11,14,7,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,1
121,65,0,Plant,2,0,0,1,0,30,6,96,106,118,0,18,18,12,15,9,5,0,0,0,2,2,0,0,1,0,2,2,1,0,0,0,0,0,0,1,1,1,2,2,2,1,1,2
122,68,0,Plant,2,0,0,3,0,40,11,97,106,113,0,16,17,9,6,2,14,1,1,1,2,2,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,2
123,60,0,Plant,2,0,0,3,0,45,9,97,113,147,0,14,18,8,9,13,13,0,0,0,2,2,0,1,1,1,2,2,1,0,0,1,0,0,0,1,1,1,2,2,2,0,0,2
124,68,0,Plant,2,0,0,4,0,50,12,45,56,57,0,12,24,8,17,12,10,0,0,0,2,2,1,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,2,2,2,0,0,2
125,71,0,Plant,2,0,0,4,0,40,3,47,118,139,0,8,5,7,2,7,2,0,0,0,2,2,0,0,0,0,2,2,0,0,0,1,0,0,0,1,1,1,2,2,2,0,0,2
126,42,0,Plant,2,0,0,5,0,40,8,47,91,164,0,17,11,4,2,9,14,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,3,2,2,2,0,0,2
127,51,0,Plant,2,0,0,4,0,35,9,50,104,113,0,13,20,14,11,3,16,0,0,0,2,2,0,0,1,0,2,2,1,0,0,0,0,0,0,1,1,1,2,2,2,1,1,2
128,68,0,Plant,2,0,0,3,0,40,12,121,122,125,0,11,21,7,6,20,11,1,1,0,2,2,1,0,0,2,3,2,1,0,0,1,0,1,1,0,1,1,2,3,3,0,0,2
129,71,0,Plant,2,0,0,3,0,40,11,27,36,124,0,15,18,8,3,12,15,1,1,1,3,3,1,0,1,2,2,2,1,0,0,2,0,0,0,0,0,0,2,2,2,0,0,2
130,73,0,Plant,2,0,0,4,0,40,10,19,113,115,0,14,7,8,4,5,3,1,1,1,2,2,0,0,0,0,2,2,0,0,0,1,0,1,0,1,0,0,2,2,2,0,0,2
131,52,0,Plant,2,0,0,5,0,45,9,51,117,118,0,12,20,11,8,10,17,0,0,0,2,2,0,1,2,2,2,2,1,0,0,3,0,0,0,1,2,2,2,2,2,0,0,2
132,81,0,Plant,2,0,0,5,0,40,13,117,138,146,0,19,17,7,10,15,23,0,0,0,3,3,0,0,0,2,2,2,0,0,0,3,0,0,0,0,2,0,3,3,3,1,1,2
133,88,0,Plant,2,0,0,4,0,35,10,45,50,169,0,14,15,12,14,15,9,0,0,0,2,2,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,3,3,3,2,2,1
134,75,0,Plant,2,0,0,4,0,30,6,92,96,127,2,8,11,8,5,1,3,1,1,1,3,3,1,0,0,1,2,2,1,0,0,2,0,0,0,0,0,0,2,2,2,0,0,2
135,50,0,Plant,2,0,0,4,0,45,9,85,105,113,0,14,12,19,7,10,6,1,1,1,2,2,1,0,0,1,3,3,1,0,0,2,0,0,0,0,0,0,3,3,3,0,0,1
136,71,0,Plant,2,0,0,5,0,50,11,51,78,101,0,17,14,20,13,10,16,1,1,1,2,2,1,0,0,2,3,3,1,0,0,3,0,0,0,0,0,0,3,3,3,0,0,1
137,87,0,Plant,2,0,0,4,0,50,9,50,122,128,0,8,13,9,6,7,15,0,0,0,2,2,0,1,1,1,2,2,1,0,0,2,0,0,0,1,1,1,2,2,2,0,0,1
138,62,0,Plant,3,0,0,6,0,70,24,99,130,150,0,24,30,23,21,18,18,1,1,1,3,3,1,1,1,2,3,3,1,1,1,3,1,1,1,1,2,1,3,3,3,1,1,3
